A: Apple, Ant, Alligator, Arrow, Aardvark
B: Banana, Bat, Bear, Boat, Bicycle
C: Cat, Car, Cup, Cloud, Cactus
D: Dog, Duck, Door, Dolphin, Dragon
E: Elephant, Eagle, Egg, Earth, Engine
F: Fish, Frog, Flower, Flag, Fox
G: Goat, Giraffe, Glass, Guitar, Gold
H: Hat, Horse, House, Hammer, Heart
I: Ice, Igloo, Ink, Insect, Island
J: Jaguar, Juice, Jacket, Jam, Jelly
K: Kite, Kangaroo, Key, Kid, Kettle
L: Lion, Lamp, Leaf, Lemon, Ladder
M: Monkey, Mango, Map, Moon, Mouse
N: Ninja, Nose, Nest, Notebook, Nut
O: Owl, Orange, Ocean, Ostrich, Onion
P: Penguin, Pineapple, Panda, Pizza, Pillow
Q: Queen, Quilt, Quokka, Quill, Quartz
R: Rabbit, Rose, Rocket, Rainbow, Ring
S: Sun, Snake, Star, Sandwich, Spoon
T: Tiger, Tree, Table, Train, Tulip
U: Umbrella, Unicorn, Uniform, Urn, Ukelele
V: Vase, Vulture, Violin, Volcano, Van
W: Whale, Watermelon, Window, Wolf, Wagon
X: Xylophone, Xerus, X-ray, Xenon, Xmas
Y: Yacht, Yogurt, Yarn, Yellow, Yeti
Z: Zebra, Zucchini, Zipper, Zenith, Zoo
